time,open,high,low,close,volume
1675229100,12107.5,12108.0,12105.5,12107.0,66
1675229400,12106.5,12108.75,12103.75,12108.5,157
1675229700,12108.0,12108.0,12104.25,12105.25,187
1675230000,12105.5,12106.5,12101.75,12104.25,168
1675230300,12104.5,12105.0,12102.25,12104.25,158
1675230600,12104.5,12114.0,12103.75,12111.5,280
1675230900,12111.0,12112.0,12108.5,12109.5,188
1675231200,12109.0,12111.25,12106.0,12107.5,234
1675231500,12107.25,12109.0,12106.5,12107.0,123
1675231800,12106.75,12106.75,12103.5,12103.75,151
1675232100,12103.75,12106.25,12102.75,12104.75,134
1675232400,12104.0,12111.5,12103.25,12109.5,215
1675232700,12109.75,12110.0,12107.25,12107.25,98
1675233000,12107.0,12112.75,12106.25,12112.0,195
1675233300,12111.0,12116.0,12111.0,12115.25,290
1675233600,12115.5,12115.5,12109.5,12109.75,190
1675233900,12109.25,12109.75,12105.0,12108.25,301
1675234200,12109.0,12111.5,12108.5,12111.5,131
1675234500,12111.0,12113.25,12109.75,12113.0,162
1675234800,12112.75,12112.75,12105.5,12108.0,382
1675235100,12108.75,12112.25,12107.75,12109.75,207
1675235400,12109.75,12116.0,12109.75,12115.75,252
1675235700,12115.5,12126.5,12115.25,12121.0,702
1675236000,12121.5,12125.75,12119.75,12124.5,332
1675236300,12124.75,12127.75,12121.5,12125.75,364
1675236600,12126.0,12127.5,12121.5,12123.75,287
1675236900,12123.5,12124.5,12118.25,12120.0,344
1675237200,12119.5,12122.75,12118.0,12121.5,245
1675237500,12121.5,12125.25,12120.75,12124.5,224
1675237800,12124.75,12125.0,12120.0,12124.0,283
1675238100,12124.25,12130.25,12122.25,12126.25,432
1675238400,12126.5,12128.0,12120.25,12121.75,770
1675238700,12121.25,12130.5,12118.75,12127.0,565
1675239000,12126.75,12132.75,12123.75,12132.0,569
1675239300,12132.5,12134.25,12127.5,12132.0,427
1675239600,12131.75,12131.75,12126.5,12131.0,533
1675239900,12131.0,12133.5,12120.5,12123.75,498
1675240200,12124.5,12135.75,12124.25,12134.0,720
1675240500,12134.75,12138.0,12132.25,12137.0,721
1675240800,12137.75,12148.0,12137.5,12144.0,1081
1675241100,12144.75,12146.25,12126.0,12128.25,1122
1675241400,12127.5,12129.5,12123.0,12125.75,620
1675241700,12125.25,12129.0,12123.5,12127.5,389
1675242000,12127.5,12128.25,12115.25,12123.0,1274
1675242300,12123.0,12129.5,12120.25,12126.25,661
1675242600,12126.25,12128.0,12122.75,12126.0,468
1675242900,12126.25,12133.75,12124.5,12133.25,536
1675243200,12133.5,12135.25,12130.0,12132.75,480
1675243500,12132.25,12135.5,12129.0,12130.75,362
1675243800,12130.75,12131.25,12113.5,12118.5,963
1675244100,12118.25,12123.25,12118.0,12121.75,338
1675244400,12121.5,12123.5,12115.0,12117.75,323
1675244700,12117.75,12125.0,12115.25,12124.5,434
1675245000,12125.0,12127.75,12121.75,12122.5,394
1675245300,12122.5,12123.75,12115.0,12117.5,277
1675245600,12117.75,12124.5,12116.25,12118.5,696
1675245900,12119.0,12126.75,12115.5,12115.75,604
1675246200,12116.25,12116.75,12107.5,12109.0,836
1675246500,12109.5,12112.0,12105.25,12109.25,408
1675246800,12109.5,12115.5,12107.25,12110.75,587
1675247100,12111.0,12115.0,12109.0,12109.5,323
1675247400,12110.25,12111.0,12105.5,12111.0,339
1675247700,12110.5,12110.5,12104.5,12106.25,540
1675248000,12106.5,12110.0,12104.0,12109.75,308
1675248300,12109.75,12112.0,12106.5,12111.5,296
1675248600,12111.25,12116.0,12108.0,12114.5,615
1675248900,12114.75,12114.75,12109.25,12110.75,364
1675249200,12111.5,12117.5,12107.25,12116.75,444
1675249500,12117.0,12117.0,12108.25,12109.0,406
1675249800,12109.25,12117.0,12109.0,12113.5,528
1675250100,12113.5,12123.0,12112.25,12122.5,607
1675250400,12122.0,12129.0,12121.0,12128.0,774
1675250700,12127.75,12130.25,12124.5,12126.75,383
1675251000,12126.5,12130.0,12123.75,12128.75,421
1675251300,12129.25,12130.75,12125.25,12126.5,531
1675251600,12126.25,12132.5,12124.5,12130.25,672
1675251900,12130.5,12131.75,12125.0,12126.5,508
1675252200,12126.25,12129.25,12123.0,12127.5,541
1675252500,12127.5,12132.0,12126.75,12131.75,564
1675252800,12132.0,12138.0,12126.0,12137.25,1177
1675253100,12137.0,12144.5,12133.75,12144.25,820
1675253400,12144.75,12151.75,12141.0,12150.25,1072
1675253700,12150.5,12150.5,12143.75,12149.0,938
1675254000,12148.75,12166.75,12148.5,12161.25,2739
1675254300,12161.25,12167.25,12158.75,12167.25,1087
1675254600,12167.5,12168.75,12160.75,12166.75,1246
1675254900,12166.75,12167.0,12158.5,12162.75,650
1675255200,12162.25,12165.25,12155.5,12157.0,777
